standard_code,gender,age_min,age_max,ref_min,ref_max,unit,notes
050109,all,0,150,,,IU/mL,检测最低下限为10IU/mL
050201,all,0,150,,0.05,COI,<0.05
050202,all,0,150,,10.0,U/L,<10
050203,all,0,150,1.0,,COI,>1.0
050204,all,0,150,,1.0,COI,<1.0
050208,all,0,150,,1.0,COI,<1.0
050603,all,0,150,0.27,4.2,μIU/mL,
050703,all,0,150,12.0,22.0,pmol/L,
050704,all,0,150,,,μg/mL,男或非孕女性：13.00-39.00；妊娠末三个月女：47.00-59.00；妊娠女：27.00-66.00
050801,all,0,150,0.0,20.0,IU/mL,
050803,all,0,150,0.0,200.0,IU/mL,
050804,all,0,150,0.0,5.0,U/mL,
050805,all,0,150,,5.0,mg/L,<5
050806,all,0,150,0.0,2.7,ng/mL,
050807,all,0,150,,,ng/mL,"0.00-4.00(4-10参看fPSA/tPSA,>10前列腺癌风险高)"
050810,all,0,150,4.79,23.3,ng/mL,
050811,all,0,150,0.084,0.481,ng/mL,
050812,all,0,150,,,ng/mL,卵泡期:＜0.05-0.193；排卵期：0.055-4.14；黄体期:4.11-14.5；妊娠早期:11.0-44.3；妊娠中期:25.4-83.3；妊娠晚期:58.7-214.0；绝经期后:<0.05-0.126
050813,all,0,150,,,pg/mL,卵泡期:30.9-90.4；排卵期:60.4-533.0；黄体期:60.4-232.0；绝经期:＜5.0-138.0
050814,all,0,150,,,mIU/mL,卵泡期:2.4-12.6；排卵期:14.00-95.6；黄体期:1.00-11.40；绝经期:7.70-58.50
050815,all,0,150,,,mIU/mL,卵泡期:3.5-12.5;排卵期:4.7-21.5;黄体期:1.7-7.7;绝经期:25.8-134.8
050816,all,0,150,26.5,253.3,μg/dL,
050903,all,0,150,0.0,6.5,ng/mL,
050905,all,0,150,,,ng/mL,用于计算fPSA/tPSA
0509806,all,0,150,,,,tPSA在4-10之间时，≤0.25前列腺癌风险高，>0.25前列腺增生风险高。检测用于评估是否需要前列腺活检的建议。
051001,all,0,150,0.0,34.0,U/mL,
051002,all,0,150,0.0,35.0,U/mL,
051003,all,0,150,0.0,25.0,U/mL,
051004,all,0,150,0.0,10.0,U/mL,
051005,all,0,150,0.0,6.9,U/mL,
051006,all,0,150,0.0,16.3,ng/mL,
051406,all,0,150,0.0,15.0,μmol/L,
051407,all,0,150,0.0,5.0,mg/L,
051408,all,0,150,120.0,250.0,U/L,
051409,all,0,150,72.0,182.0,U/L,
051410,all,0,150,40.0,200.0,U/L,
051411,all,0,150,0.0,25.0,U/L,
051412,all,0,150,0.0,106.0,ng/mL,
051413,all,0,150,,,ng/mL,"0.000-0.014（≤0.014 健康参考值 ； 
0.015-0.052 心肌损伤 ； 
＞0.052 心梗高风险 ）"
051414,all,0,150,0.0,125.0,pg/mL,
051415,all,0,150,3.1,20.5,ng/mL,
051416,all,0,150,187.0,883.0,pg/mL,
051417,all,0,150,30.1,100.0,ng/ml,
051419,all,0,150,,1.0,S/CO,<1.0(灰区0.9-1.2；阳性≥1)
051421,all,0,150,1.0,7.8,pmol/L,
051422,all,0,150,,1.0,U/L,<1
051423,all,0,150,,,ng/mL,PGⅠ<40 ng/mL时可疑阳性，其它结果请结合PGⅠ/PGⅡ比值。
051424,all,0,150,,,ng/mL,用于计算PG Ⅰ/Ⅱ
051425,all,0,150,,1.0,,<1.0
051426,all,0,150,32.11,68.96,pmol/L,
051427,all,0,150,0.0,0.105,ug/L,
051428,all,0,150,0.0,3.3,ng/mL,
051429,all,0,150,0.0,69.2,pg/mL,
051430,all,0,150,0.0,175.0,ng/mL,
051432,all,0,150,,,ng/ml,女||35岁-39岁||0.33-7.21
051433,all,0,150,,,AU/mL,阴性||<10.00 灰区||10.00-14.00 阳性||≥14.00
051434,all,0,150,,,AU/mL,阴性:＜0.7；不确定：≥0.7-＜1.0；阳性：≥1.0 。
051441,all,0,150,,,mIU/mL,非孕女性:0-5
051442,all,0,150,85.0,230.0,ng/ml,
051446,all,0,150,0.0,11.4,%,
051447,all,0,150,0.0,29.9,%,
051451,all,0,150,1.0,10.0,ng/ml,
051452,all,0,150,3.8,39.7,ng/ml,
051453,all,0,150,5.2,72.1,ng/ml,
051457,all,0,150,12.9,253.1,ng/ml,
051459,all,0,150,4.0,,ng/ml,>4
051554,all,0,150,,,,阴性（-）
051555,all,0,150,,,,阴性(-)
051556,all,0,150,,,,阴性（-）
051557,all,0,150,,,,阴性（-）
051558,all,0,150,,,,阴性（-）
051568,all,0,150,,,,阴性（-）
051569,all,0,150,,,,阴性（-）
051570,all,0,150,,,,阴性（-）
051571,all,0,150,,,,阴性（-）
051572,all,0,150,,,,阴性（-）
051573,all,0,150,,,,阴性（-）
051574,all,0,150,,,,阴性（-）
051575,all,0,150,,,,阴性（-）
051576,all,0,150,,,,阴性（-）
051578,all,0,150,,,,阴性（-）
051579,all,0,150,,,,阴性（-）
051580,all,0,150,,,,阴性（-）
051581,all,0,150,,,,阴性（-）
051595,all,0,150,,160.0,pg/mL,<160.00
051596,all,0,150,,,ng/L,≤60.00
051601,all,0,150,,,%,成人||50-84
051602,all,0,150,,,%,成人||27-51
051603,all,0,150,,,%,成人||15-44
051604,all,0,150,,,,成人||0.71-2.78
051605,all,0,150,,,个/uL,成人||955-2860
051606,all,0,150,,,个/uL,成人||550-1440
051607,all,0,150,,,个/uL,成人||320-1250
051608,all,0,150,90.0,560.0,个/μl,
051609,all,0,150,150.0,1100.0,个/μl,
051610,all,0,150,7.0,40.0,%,
051611,all,0,150,5.0,18.0,%,
051612,all,0,150,0.0,4.34,pg/ml,
051613,all,0,150,0.0,3.87,pg/ml,
051614,all,0,150,0.0,2.9,pg/ml,
051615,all,0,150,0.0,5.04,pg/ml,
051616,all,0,150,0.0,5.0,pg/ml,
051617,all,0,150,0.0,4.41,pg/ml,
051801,all,0,150,0.3,2.0,ng/mL,
051802,all,0,150,0.33,2.48,ng/mL,
051803,all,0,150,0.31,4.55,ng/mL,
051804,all,0,150,,,ng/ml,≤0.30
051805,all,0,150,0.53,15.6,ng/mL,
051806,all,0,150,2.0,8.7,ng/ml,
051807,all,0,150,43.0,221.0,,
051808,all,0,150,,,ng/mL,绝经前：17-200；绝经后：7-40
051809,all,0,150,0.15,2.9,Pg/mL,
051810,all,0,150,,,,≤0.21（上午）
051821,all,0,150,,,ng/ml,上午:50.00-250.00;下午:20.00-140.00
060107,all,0,150,0.0,20.0,mm/h,
060108,all,0,150,35.0,45.0,%,
060109,all,0,150,2.13,3.69,,
060110,all,0,150,10.62,16.94,,
060111,all,0,150,0.0,73.76,,
060112,all,0,150,3.79,6.05,,
060113,all,0,150,32.59,50.23,mPa.s,
060114,all,0,150,3.82,8.48,mPa.s,
060115,all,0,150,0.53,1.02,,
060116,all,0,150,2.3,6.73,,
060118,all,0,150,40.0,49.0,%,
060119,all,0,150,17.63,21.35,mPa.s,
060120,all,0,150,7.95,9.95,mPa.s,
060121,all,0,150,4.66,5.98,mPa.s,
060122,all,0,150,3.53,4.65,mPa.s,
060123,all,0,150,1.26,1.66,mPa.s,
071431,all,0,150,,,,阴性（-）
071432,all,0,150,,,,阴性（-）
071439,all,0,150,,1.0,S/CO,<1.0
071441,all,0,150,,,,阴性
080801,all,0,150,,,,阴性（-）
080802,all,0,150,,,,阴性（-）
080803,all,0,150,,,,阴性（-）
080804,all,0,150,,,,阴性（-）
080805,all,0,150,,,,阴性（-）
080806,all,0,150,,,,阴性（-）
080807,all,0,150,,,,阴性（-）
080808,all,0,150,,,,阴性（-）
080809,all,0,150,,,,阴性（-）
080810,all,0,150,,,,阴性（-）
080904,all,0,150,1.5,6.8,ml,
080905,all,0,150,,,,液化
080906,all,0,150,7.2,,,≥7.2
080907,all,0,150,,60.0,分钟,<60
080909,all,0,150,,,,腥味
080910,all,0,150,,,cm,正常：粘液丝≤2cm；异常：粘液丝＞2cm
080915,all,0,150,15.0,,×10E6/ml,≥15
080917,all,0,150,40.0,,%,≥40
080918,all,0,150,32.0,,%,≥32
080939,all,0,150,4.0,,%,≥4
080941,all,0,150,40.0,,%,≥40
100353,all,0,150,0.0,125.0,pg/mL,
300003,all,0,150,,,,0级
300004,all,0,150,,,,0级
300005,all,0,150,,0.35,kUA/L,<0.35
300007,all,0,150,,,,0级
300009,all,0,150,,,,0级
300010,all,0,150,,0.35,kUA/L,<0.35
300016,all,0,150,,,,0级
300017,all,0,150,,0.35,kUA/L,<0.35
300018,all,0,150,,,,0级
300019,all,0,150,,0.35,kUA/L,<0.35
300020,all,0,150,,,,0级
300027,all,0,150,,0.35,kUA/L,<0.35
300034,all,0,150,,0.35,kUA/L,<0.35
300036,all,0,150,,0.35,kUA/L,<0.35
300037,all,0,150,,0.35,kUA/L,<0.35
300041,all,0,150,,0.35,kUA/L,<0.35
300049,all,0,150,,0.35,kUA/L,<0.35
300050,all,0,150,,,,0级
300051,all,0,150,,,,0级
300052,all,0,150,,,,0级
300053,all,0,150,,,,0级
300054,all,0,150,,,,0级
300055,all,0,150,,,,0级
300056,all,0,150,,,,0级
300057,all,0,150,,0.35,kUA/L,<0.35
300060,all,0,150,,0.35,kUA/L,<0.35
300061,all,0,150,,0.35,kUA/L,<0.35
300063,all,0,150,,0.35,kUA/L,<0.35
300080,all,0,150,,,,0级
300081,all,0,150,,,,0级
300082,all,0,150,,,,0级
300083,all,0,150,,,,0级
300084,all,0,150,,,,0级
300086,all,0,150,,,,0级
300090,all,0,150,,,,0级
300091,all,0,150,,,,0级
300092,all,0,150,,,,0级
300093,all,0,150,,,,0级
300094,all,0,150,,,,0级
300095,all,0,150,,,,0级
300096,all,0,150,,,,0级
300097,all,0,150,,,,0级
300098,all,0,150,,,,0级
300099,all,0,150,,,,0级
300100,all,0,150,,,,0级
300101,all,0,150,,,,0级
300102,all,0,150,,,,0级
300103,all,0,150,,,,0级
300104,all,0,150,,,,0级
300109,all,0,150,,,,0级
300110,all,0,150,,,,0级
300111,all,0,150,,,,0级
300112,all,0,150,,,,0级
300113,all,0,150,,,,0级
300114,all,0,150,,,,0级
300115,all,0,150,,,,0级
300116,all,0,150,,,,0级
300117,all,0,150,,,,0级
300118,all,0,150,,,,0级
300119,all,0,150,,,,0级
300121,all,0,150,,,,0级
300122,all,0,150,,,,0级
300123,all,0,150,,,,0级
300124,all,0,150,,,,0级
300125,all,0,150,,,,0级
300126,all,0,150,,,,0级
300127,all,0,150,,,,0级
300128,all,0,150,,,,0级
300129,all,0,150,,,,0级
300131,all,0,150,,,,0级
300132,all,0,150,,,,0级
300133,all,0,150,,,,0级
300135,all,0,150,,,,0级
300136,all,0,150,,,,0级
300137,all,0,150,,,,0级
300138,all,0,150,,,,0级
300139,all,0,150,,,,0级
300140,all,0,150,,,,0级
300141,all,0,150,,,,0级
300142,all,0,150,,,,0级
300143,all,0,150,,,,0级
300144,all,0,150,,,,0级
300145,all,0,150,,,,0级
300146,all,0,150,,,,0级
300147,all,0,150,,,,0级
300148,all,0,150,,,,0级
300149,all,0,150,,,,0级
300150,all,0,150,,,,0级
300151,all,0,150,,,,0级
300152,all,0,150,,,,0级
300155,all,0,150,,,,0级
300156,all,0,150,,,,0级
300157,all,0,150,,,,0级
300158,all,0,150,,,,0级
300159,all,0,150,,,,0级
300160,all,0,150,,,,0级
300161,all,0,150,,,,0级
300162,all,0,150,,,,0级
300163,all,0,150,,,,0级
300164,all,0,150,,,,0级
300165,all,0,150,,,,0级
300166,all,0,150,,,,0级
300167,all,0,150,,,,0级
300168,all,0,150,,,,0级
300169,all,0,150,,,,0级
300171,all,0,150,,0.35,kUA/L,<0.35
300202,all,0,150,,0.35,kUA/L,<0.35
300209,all,0,150,,,,0级
300210,all,0,150,,,,0级
300211,all,0,150,,,,0级
300212,all,0,150,,,,0级
300213,all,0,150,,,,0级
300214,all,0,150,,,,0级
300215,all,0,150,,,,0级
300216,all,0,150,,,,0级
300217,all,0,150,,,,0级
300218,all,0,150,,,,0级
300219,all,0,150,,,,0级
300220,all,0,150,,,,0级
300221,all,0,150,,,,0级
300222,all,0,150,,,,0级
300223,all,0,150,,,,0级
300224,all,0,150,,,,0级
300225,all,0,150,,,,0级
300226,all,0,150,,,,0级
300227,all,0,150,,,,0级
300228,all,0,150,,,,0级
300229,all,0,150,,,,0级
300230,all,0,150,,,,0级
300231,all,0,150,,,,0级
300232,all,0,150,,,,0级
300233,all,0,150,,,,0级
300234,all,0,150,,,,0级
300235,all,0,150,,,,0级
300236,all,0,150,,,,0级
300237,all,0,150,,,,0级
300238,all,0,150,,,,0级
300239,all,0,150,,,,0级
300240,all,0,150,,,,0级
300241,all,0,150,,,,0级
300242,all,0,150,,,,0级
300243,all,0,150,,,,0级
300244,all,0,150,,,,0级
300245,all,0,150,,,,0级
300246,all,0,150,,,,0级
300247,all,0,150,,,,0级
300248,all,0,150,,,,0级
300249,all,0,150,,,,0级
300250,all,0,150,,,,0级
300251,all,0,150,,,,0级
300252,all,0,150,,,,0级
300253,all,0,150,,,,0级
300254,all,0,150,,,,0级
300255,all,0,150,,,,0级
300256,all,0,150,,,,0级
300257,all,0,150,,,,0级
300258,all,0,150,,,,0级
300259,all,0,150,,,,0级
300260,all,0,150,,,,0级
300261,all,0,150,,,,0级
300262,all,0,150,,,,0级
300263,all,0,150,,,,0级
300264,all,0,150,,,,0级
300265,all,0,150,,,,0级
300266,all,0,150,,,,0级
300267,all,0,150,,,,0级
300268,all,0,150,,,,0级
300269,all,0,150,,,,0级
300270,all,0,150,,,,0级
300271,all,0,150,,,,0级
300272,all,0,150,,,,0级
300273,all,0,150,,,,0级
300274,all,0,150,,,,0级
300275,all,0,150,,,,0级
300276,all,0,150,,,,0级
300277,all,0,150,,,,0级
300278,all,0,150,,,,0级
300279,all,0,150,,,,0级
300280,all,0,150,,,,0级
300281,all,0,150,,,,0级
300282,all,0,150,,,,0级
300283,all,0,150,,,,0级
300284,all,0,150,,,,0级
300285,all,0,150,,,,0级
300286,all,0,150,,,,0级
300287,all,0,150,,,,0级
300288,all,0,150,,,,0级
300289,all,0,150,,,,0级
300290,all,0,150,,,,0级
300291,all,0,150,,,,0级
300292,all,0,150,,,,0级
300293,all,0,150,,,,0级
300294,all,0,150,,,,0级
300295,all,0,150,,,,0级
300296,all,0,150,,,,0级
300297,all,0,150,,,,0级
300298,all,0,150,,,,0级
300299,all,0,150,,,,0级
300300,all,0,150,,,,0级
300301,all,0,150,,,,0级
300302,all,0,150,,,,0级
300303,all,0,150,,,,0级
300304,all,0,150,,,,0级
300305,all,0,150,,,,0级
300306,all,0,150,,,,0级
300307,all,0,150,,,,0级
300308,all,0,150,,,,0级
300309,all,0,150,,,,0级
300310,all,0,150,,,,0级
300311,all,0,150,,,,0级
300312,all,0,150,,,,0级
300313,all,0,150,,,,0级
300314,all,0,150,,,,0级
300315,all,0,150,,,,0级
300317,all,0,150,,,,0级
4000013,all,0,150,,,,卧位||10.00-160.00&立位||40.00-310.00
4000014,all,0,150,0.0,30.0,,
400005,all,0,150,0.0,6.5,pg/mL,
400007,all,0,150,0.0,50.0,mg/dL,
400011,all,0,150,,7.8,mmol/L,<7.8
400017,all,0,150,0.5,1.5,%,
400018,all,0,150,24.0,84.0,10^9/L,
400019,all,0,150,78.0,95.0,%,
400020,all,0,150,4.0,18.0,%,
400021,all,0,150,0.0,4.0,%,
400022,all,0,150,5.0,22.0,%,
400023,all,0,150,,,%,0
400024,all,0,150,,,10^9/L,0
400028,all,0,150,,,,-
400034,all,0,150,0.0,30.0,mg/L,
400036,all,0,150,,,,-
400038,all,0,150,3.1,39.0,mS/cm,
400045,all,0,150,,,,-
400047,all,0,150,,,,-
400062,all,0,150,,,,-
400092,all,0,150,0.0,0.5,mg/L,
400099,all,0,150,,,IU/mL,最低检测下限：100
400101,all,0,150,,,,当PGⅠ<70ng/ml，并且PGⅠ/Ⅱ<3.0时为阳性；当PGⅠ<30ng/ml，并且PGⅠ/Ⅱ<2.0时为强阳性；PGⅠ/Ⅱ<2.5时可疑阳性。
400102,all,0,150,1.6,6.9,pmol/L,
400300,all,0,150,1.1,4.4,ng/mL,
400324,all,0,150,,,,阴性:<25
400325,all,0,150,,,,＜4.0（2.0-6.0区间为灰区，建议日后复查。）
400326,all,0,150,31.2,36.2,pg,
400328,all,0,150,,,,阴性（-）
400329,all,0,150,,,,阴性（-）
400330,all,0,150,,,,阴性（-）
400331,all,0,150,,,,阴性（-）
400332,all,0,150,,,,阴性（-）
400333,all,0,150,,,,阴性（-）
400334,all,0,150,,,,阴性（-）
400335,all,0,150,,,,阴性（-）
400336,all,0,150,,,,阴性（-）
400337,all,0,150,,,,阴性（-）
400338,all,0,150,,,,阴性（-）
400339,all,0,150,,,,阴性（-）
400400,all,0,150,,,,阴性（-）
400401,all,0,150,,,,阴性（-）
400402,all,0,150,,,,阴性（-）
400403,all,0,150,,,,阴性（-）
400404,all,0,150,,,,阴性（-）
400405,all,0,150,,,,阴性（-）
400406,all,0,150,,,,阴性（-）
400407,all,0,150,,,,阴性（-）
400408,all,0,150,,,,阴性（-）
400409,all,0,150,,,,阴性（-）
400410,all,0,150,,,,阴性（-）
400411,all,0,150,,,,阴性（-）
400412,all,0,150,,,ng/mL,成年女性（绝经期前）:6.9-282.5；成年女性（绝经期后）:14-233.1
400413,all,0,150,126.0,9880.0,pg/mL,
400415,all,0,150,20.6,76.7,nmol/L,
400418,all,0,150,2470.0,19200.0,umol/L,
400419,all,0,150,,2.26,,<2.26
400420,all,0,150,0.8,2.4,mg/L,
50008,all,0,150,,,nmol/L,上午:174.0-497.0;下午:64.0-327.0
50009,all,0,150,,,pg/mL,上午7-10点||7.20-63.40 16点||3.00-32.00 24点||<32.00
50011,all,0,150,2.6,24.9,μU/ml,
50014,all,0,150,2.6,24.9,μU/mL,
50024,all,0,150,3.1,6.8,pmol/L,
50025,all,0,150,4.87,11.72,nmol/L,
50026,all,0,150,1.3,3.1,nmol/L,
50027,all,0,150,0.0,34.0,IU/mL,
50028,all,0,150,0.0,115.0,IU/mL,
50029,all,0,150,3.5,77.0,ng/mL,
50030,all,0,150,,31.0,/μl,<31
50031,all,0,150,,,,-
50032,all,0,150,,1200.0,/μl,<1200
50040,all,0,150,0.0,1.75,IU/L,
50041,all,0,150,0.1,0.4,g/L,
50045,all,0,150,0.9,1.8,g/L,
600001,all,0,150,,,,未见
600002,all,0,150,,,,未见
600003,all,0,150,,,,Ⅰ°—Ⅱ°
600004,all,0,150,,,,阴性（-）
920040,all,0,150,,,nmol/L,用于计算肾素活性(PRA)
920043,all,0,150,,,nmol/L,用于计算肾素活性(PRA)
920045,all,0,150,,,nmol/L,卧位||25.00-129.00&立位||49.00-252.00
920046,all,0,150,,,ng/ml/hr,卧位||0.15-2.33&立位||1.31-3.95
HY-XCG-001,all,0,150,4.0,10.0,10^9/L,本参考范围为成人静脉血参考值，不同人群存在差异：新生儿参考范围15.0~20.0×10^9/L，6个月~2岁婴幼儿参考范围11.0~12.0×10^9/L；生理性升高可见于剧烈运动、妊娠晚期、饱餐后等情况。
HY-XCG-002,all,0,150,3.5,5.5,10^12/L,本参考范围为成年人群参考值，新生儿参考范围为6.0~7.0×10^12/L，儿童红细胞计数随年龄增长逐渐降至成人水平。
HY-XCG-002,male,18,150,4.0,5.5,10^12/L,
HY-XCG-002,female,18,150,3.5,5.0,10^12/L,
HY-XCG-003,all,0,150,110.0,160.0,g/L,新生儿参考范围为170~200g/L，上述范围为成人参考值，非妊娠成年女性参考范围为110~150g/L，成年男性为120~160g/L，孕妇血红蛋白低于100g/L可诊断为贫血，儿童参考范围随年龄存在较大差异。
HY-XCG-003,male,18,150,120.0,160.0,g/L,
HY-XCG-003,female,18,150,110.0,150.0,g/L,
HY-XCG-004,all,0,150,35.0,50.0,%,上述为成人红细胞压积参考范围，儿童、新生儿参考区间随年龄不同存在差异，新生儿参考范围通常为48%~68%。
HY-XCG-004,male,18,150,40.0,50.0,%,
HY-XCG-004,female,18,150,35.0,45.0,%,
HY-XCG-005,all,0,150,100.0,300.0,10^9/L,本参考范围适用于成人，血小板计数无明显性别差异，不同检测仪器及试剂对应的参考范围可能略有差异，部分机构采用125~350×10^9/L作为参考区间，具体以就诊医疗机构出具的报告单为准。
HY-XCG-006,all,0,150,80.0,100.0,fL,不同检测方法、仪器及试剂的参考范围可能存在小幅差异，新生儿、婴幼儿的平均红细胞体积参考范围通常高于成人。
HY-XCG-007,all,0,150,27.0,34.0,pg,本指标无明显性别差异，不同检测系统参考范围可能略有不同，具体以就诊医院实验室报告为准，新生儿参考范围通常高于成人。
HY-XCG-008,all,0,150,320.0,360.0,g/L,本指标无明显性别特异性差异，不同检测仪器、试剂对应的参考范围可能存在小幅偏差，实际参考值请以就诊医疗机构出具的报告单为准
HY-XCG-009,all,0,150,15.5,18.1,fL,不同检测方法、仪器参考范围可能略有差异，具体以就诊医疗机构出具的报告单为准
HY-XCG-010,all,0,150,7.0,11.0,fL,不同检测仪器、试剂的参考范围存在一定差异，具体以就诊医疗机构出具的报告单为准
HY-XCG-011,all,0,150,11.5,14.5,%,本参考范围为红细胞分布宽度变异系数（RDW-CV）对应参考值，不同检测系统参考范围可能存在差异，具体以就诊医疗机构出具的报告单标注为准。
HY-XCG-012,all,0,150,0.11,0.28,%,不同检测仪器、试剂及检测方法的参考范围可能存在一定差异，具体以就诊医院出具的正式报告单为准。
HY-XCG-012,male,18,150,0.108,0.272,%,
HY-XCG-012,female,18,150,0.114,0.282,%,
